DTI_mean_fa.body_of_corpus_callosum.jhu_icbm_labels_1mm,DTI_mean_fa.fornix_.column_and_body_of_fornix..jhu_icbm_labels_1mm,DTI_mean_fa.genu_of_corpus_callosum.jhu_icbm_labels_1mm,DTI_mean_fa.middle_cerebellar_peduncle.jhu_icbm_labels_1mm,DTI_mean_fa.pontine_crossing_tract_.a_part_of_mcp..jhu_icbm_labels_1mm,DTI_mean_fa.splenium_of_corpus_callosum.jhu_icbm_labels_1mm,DTI_mean_fa.anterior_corona_radiata.LRAVG.jhu_icbm_labels_1mm,DTI_mean_fa.anterior_limb_of_internal_capsule.LRAVG.jhu_icbm_labels_1mm,DTI_mean_fa.cerebral_peduncle.LRAVG.jhu_icbm_labels_1mm,DTI_mean_fa.cingulum_.cingulate_gyrus..LRAVG.jhu_icbm_labels_1mm,DTI_mean_fa.cingulum_.hippocampus..LRAVG.jhu_icbm_labels_1mm,DTI_mean_fa.corticospinal_tract.LRAVG.jhu_icbm_labels_1mm,DTI_mean_fa.external_capsule.LRAVG.jhu_icbm_labels_1mm,DTI_mean_fa.fornix_.cres..stria_terminalis_.can_not_be_resolved_with_current_resolution..LRAVG.jhu_icbm_labels_1mm,DTI_mean_fa.inferior_cerebellar_peduncle.LRAVG.jhu_icbm_labels_1mm,DTI_mean_fa.inferior_fronto.occipital_fasciculus.LRAVG.jhu_icbm_labels_1mm,DTI_mean_fa.medial_lemniscus.LRAVG.jhu_icbm_labels_1mm,DTI_mean_fa.posterior_corona_radiata.LRAVG.jhu_icbm_labels_1mm,DTI_mean_fa.posterior_limb_of_internal_capsule.LRAVG.jhu_icbm_labels_1mm,DTI_mean_fa.posterior_thalamic_radiation_.include_optic_radiation..LRAVG.jhu_icbm_labels_1mm,DTI_mean_fa.retrolenticular_part_of_internal_capsule.LRAVG.jhu_icbm_labels_1mm,DTI_mean_fa.sagittal_stratum_.include_inferior_longitidinal_fasciculus_and_inferior_fronto.occipital_fasciculus..LRAVG.jhu_icbm_labels_1mm,DTI_mean_fa.superior_cerebellar_peduncle.LRAVG.jhu_icbm_labels_1mm,DTI_mean_fa.superior_corona_radiata.LRAVG.jhu_icbm_labels_1mm,DTI_mean_fa.superior_fronto.occipital_fasciculus_.could_be_a_part_of_anterior_internal_capsule..LRAVG.jhu_icbm_labels_1mm,DTI_mean_fa.superior_longitudinal_fasciculus.LRAVG.jhu_icbm_labels_1mm,DTI_mean_fa.tapetum.LRAVG.jhu_icbm_labels_1mm,DTI_mean_fa.uncinate_fasciculus.LRAVG.jhu_icbm_labels_1mm,DTI_mean_fa_LRAVG_caudal_anterior_cingulate,DTI_mean_fa_LRAVG_caudal_middle_frontal,DTI_mean_fa_LRAVG_cuneus,DTI_mean_fa_LRAVG_entorhinal,DTI_mean_fa_LRAVG_fusiform,DTI_mean_fa_LRAVG_inferior_parietal,DTI_mean_fa_LRAVG_inferior_temporal,DTI_mean_fa_LRAVG_insula,DTI_mean_fa_LRAVG_isthmus_cingulate,DTI_mean_fa_LRAVG_lateral_occipital,DTI_mean_fa_LRAVG_lateral_orbitofrontal,DTI_mean_fa_LRAVG_lingual,DTI_mean_fa_LRAVG_medial_orbitofrontal,DTI_mean_fa_LRAVG_middle_temporal,DTI_mean_fa_LRAVG_paracentral,DTI_mean_fa_LRAVG_parahippocampal,DTI_mean_fa_LRAVG_pars_opercularis,DTI_mean_fa_LRAVG_pars_orbitalis,DTI_mean_fa_LRAVG_pars_triangularis,DTI_mean_fa_LRAVG_pericalcarine,DTI_mean_fa_LRAVG_postcentral,DTI_mean_fa_LRAVG_posterior_cingulate,DTI_mean_fa_LRAVG_precentral,DTI_mean_fa_LRAVG_precuneus,DTI_mean_fa_LRAVG_rostral_anterior_cingulate,DTI_mean_fa_LRAVG_rostral_middle_frontal,DTI_mean_fa_LRAVG_superior_frontal,DTI_mean_fa_LRAVG_superior_parietal,DTI_mean_fa_LRAVG_superior_temporal,DTI_mean_fa_LRAVG_supramarginal,DTI_mean_fa_LRAVG_transverse_temporal,DTI_mean_fa_bn_gp_gpe_LRAVG,DTI_mean_fa_bn_gp_gpi_LRAVG,DTI_mean_fa_bn_gp_vep_LRAVG,DTI_mean_fa_bn_str_nac_LRAVG,DTI_mean_fa_bn_str_pu_LRAVG,DTI_mean_fa_die_hth_LRAVG,DTI_mean_fa_die_hth_mn_LRAVG,DTI_mean_fa_die_sth_LRAVG,DTI_mean_fa_exa_LRAVG,DTI_mean_fa_mtg_rn_LRAVG,DTI_mean_fa_mtg_sn_snc_LRAVG,DTI_mean_fa_mtg_vtr_pbp_LRAVG,DTI_mean_fa_mtg_vtr_vta_LRAVG,DTI_mean_fa_thm_eth_hn_LRAVG,DTI_mean_fa_ch13_LRAVG,DTI_mean_fa_nbm_LRAVG_ant,DTI_mean_fa_nbm_LRAVG_mid,DTI_mean_fa_nbm_LRAVG_pos
0.6496393297093535,0.5416524484753609,0.5316076095790079,0.5028037438169122,0.4454109770662945,0.717857680504637,0.4055224362009704,0.5611014033698049,0.6520990046637604,0.4917348425248514,0.3878347671786528,0.4891835131451211,0.385747648242235,0.5511376785946982,0.5532899158484522,0.4501763013316044,0.5542867707977435,0.5009284106117269,0.6335913121989688,0.5989977185129417,0.6048127781594506,0.5872047682982806,0.6288552531302116,0.4778795841944633,0.4541174416106356,0.5177914595628682,0.447622556637213,0.4347133689495358,0.1326668727742453,0.1180605409091845,0.1005530295878257,0.1090240940218723,0.11601528845341,0.1022769303477009,0.1114721788142449,0.1337650020407455,0.1292940464637771,0.1038812861909171,0.1276904438432052,0.1043293714176741,0.1148507508623193,0.1072921151349377,0.1235042404546964,0.1136292450598362,0.1128450511221126,0.1089148064317807,0.1010112872831772,0.080672663099697,0.1112019038181667,0.1418065468075132,0.1156152052098501,0.1094616612070121,0.1582212450014632,0.1067806365412497,0.116490650780697,0.1062514968574793,0.1177926227463952,0.1113557683363647,0.1051181770646347,0.2131884378849,0.2963590040935052,0.2192544238746837,0.2297100961270922,0.2232881833619706,0.1588725695926577,0.1405434381008518,0.3748624856092942,0.1991965129277068,0.3645570880886333,0.2855349352619399,0.3036744004758597,0.3052909587110792,0.1830885075964033,0.1163187017778285,0.223267850024546,0.3377974901669742,0.3834609962435382
0.6570844211622779,0.4462997513598409,0.585305380480166,0.4672815882391162,0.4031205508152293,0.6485536555792911,0.4094135987386332,0.5308748797392981,0.6224890802170291,0.4555413774458006,0.3903111441965802,0.4443626222347665,0.4306131153656863,0.5196342355577286,0.5650045103851165,0.5222128724946347,0.5432853507863872,0.4724507999189139,0.6068235119295382,0.5222675351458785,0.5642104570976876,0.5870094405625852,0.6638262923782621,0.4688448893569856,0.427011972513613,0.5279058044590497,0.3583842436785528,0.4955889209339799,0.1083307823053392,0.1043702461707057,0.0915716671611009,0.0929329743412027,0.1176818420881936,0.0999277544692001,0.1045317137736886,0.1255066496355183,0.1224408361020817,0.0989855017051213,0.1133062537989373,0.1064237840596884,0.0969700978755966,0.1045726861824433,0.1161858707657851,0.1075565847942523,0.1073000857638699,0.1023414826408571,0.0947654319758237,0.0933392473569613,0.1022501374756423,0.1084077333490482,0.1011892612025072,0.1055106461175856,0.1223390895718522,0.1084804689548335,0.1129463545625091,0.0991160358665702,0.1025269355382905,0.1056341812110424,0.1104757021259475,0.1856226258709297,0.2465758848681146,0.2750825717424353,0.1326721884934375,0.2145449384815747,0.1953192735536428,0.0739787921775132,0.2982975030165938,0.2235150204792364,0.3730980195237084,0.2745365306565707,0.3153934202367259,0.3726941252748171,0.1256432367672958,0.1460822952063124,0.2324135156374732,0.3592615842572966,0.3412074502823106
0.678333309743948,0.6300522006220288,0.6034427269292223,0.465113201988758,0.3861335979953799,0.6721187722728108,0.4577131761600319,0.5543704572883068,0.6315014141620119,0.5684268344667808,0.4494228712065465,0.516423853092341,0.4410329985972777,0.5146653179964225,0.5146475237336312,0.5058438128658703,0.5191728162103486,0.4819389060724194,0.6194482119067437,0.5774862027526917,0.5687409665463774,0.567835875852446,0.6085695246332734,0.5221108034511255,0.4871687965935003,0.5355836329828481,0.534343933082148,0.4886985944036175,0.1201434868682815,0.1206608207146663,0.1031454161741217,0.1220333629277452,0.1222015583759033,0.1113861000996117,0.1179457054709952,0.133212489628427,0.122260912397062,0.109929059857691,0.1282372812991283,0.1143726573932188,0.1056379384121553,0.1156682536972132,0.1347930707342017,0.1097155051336793,0.1189316772984792,0.1167487325024499,0.1119542532047404,0.0888405022602294,0.1278367019951198,0.1144179585613654,0.1249612571452475,0.1125082097771713,0.1377847910482235,0.1175335145722044,0.1292915347895122,0.1107890404588521,0.1183205209402897,0.117418030176022,0.1070208718311678,0.2164338521285835,0.2995101231378837,0.1701830854906945,0.1315591045746809,0.2019658698839198,0.263321039611234,0.1956839441237124,0.3798949851111198,0.2179112038264671,0.349792573083078,0.3822745863554368,0.312097304331308,0.359525279328227,0.201778940608104,0.1551463304378991,0.2276772876665493,0.3551855693692746,0.3410700762628113
0.6795792719227943,0.5203426174744211,0.6067733816611253,0.5024455180973346,0.3437299040293601,0.6852393750455607,0.4551771206375149,0.5672263499137876,0.6492252723854457,0.5384303983498833,0.4090394087261019,0.5056874731707643,0.4018334830789122,0.4958514460219537,0.5574009824927917,0.4680052663475285,0.5855412540147644,0.4990966725880265,0.6456267765304848,0.6310417189628412,0.6052479563310047,0.6069998301556481,0.6776060296590872,0.496088700225345,0.5031941078350419,0.5033635156920347,0.4292945319595557,0.4499954035703662,0.1117356912642824,0.1036308565914785,0.0902593673339373,0.1009350753209658,0.1061903481116924,0.0991615407866716,0.1105514369508575,0.123545084237063,0.1171445189976518,0.0956778193253932,0.1113368007207628,0.098329105729056,0.0981077741507973,0.1083514799205076,0.11881591007375,0.0990476978988919,0.1079207187938508,0.1025792607940679,0.1033511125288147,0.0754774305808821,0.1054349449005589,0.1095313286698175,0.103601545359013,0.1067170554995277,0.1192438287872706,0.1018402131016296,0.1094321770346836,0.0947558474791591,0.105151258973143,0.1041800977672204,0.096316426546688,0.2295533133133515,0.2970961132242034,0.1993478382735148,0.1438446651559479,0.2071895617124023,0.1903721485215378,0.0749700008697497,0.4101383331182756,0.1809305329092705,0.4259101286589626,0.2735589220293873,0.3520752521841947,0.3969706031493842,0.1677074327000549,0.1143452221182703,0.2347155197267268,0.3624495534373279,0.3210163289045284
0.607505357639861,0.5541710591897732,0.5445408443245796,0.5180174638335895,0.4042997691631317,0.6472904560513757,0.408711430153043,0.5521049761925774,0.6594837473652662,0.4578627906053623,0.4424540546842187,0.513790871096565,0.4107605289054168,0.5056038341465066,0.5243363501895966,0.4867350403008346,0.5675385699080175,0.4518233648635726,0.6408488661635516,0.5732029730073378,0.576001418351771,0.5546900660932496,0.6669687715560575,0.4581016677235127,0.4189473811251094,0.4720922568392807,0.4008078253952742,0.488486138710567,0.1210959151964271,0.108431838813503,0.0982967491771498,0.1129406148621616,0.1180965081068471,0.1025876745142378,0.1200675627662292,0.1319985561063674,0.1277771621406491,0.0997002303501605,0.1190508234271744,0.1079996868748087,0.101077711246421,0.1112199180074057,0.1122153361973266,0.1126906288690517,0.1160839281306428,0.1145576338568644,0.1079991724058806,0.0721263392174958,0.1076079451295144,0.1334847571841115,0.1097802605624992,0.1070650984557014,0.1238585089517245,0.1122190633302206,0.1159041421226806,0.0986422421595266,0.1195226649391298,0.1126838725372061,0.1025611103704463,0.2416924613465865,0.3133895847111426,0.306277919285995,0.1710731788324995,0.2490712311207962,0.2367010797227496,0.0977345248994727,0.3554753607463257,0.2244461688399315,0.4113961596396707,0.3280554511022088,0.4047831730666151,0.3796176053583621,0.0896163826639002,0.1646678579122233,0.2891137543026052,0.424782603953609,0.3545299527453163
0.623745567631694,0.5198654181352167,0.6153858372784735,0.5046405108741521,0.4165495179052985,0.6781668908101323,0.4614080347256615,0.5871777418169271,0.646366196117798,0.5115903498947485,0.3928791656896122,0.5046370621617571,0.4182242575086015,0.4957332939409264,0.5283462743829046,0.5272838373685448,0.5401778814959324,0.4820018281350257,0.6390876759853393,0.5904015590966207,0.5804397466950912,0.5881890704558379,0.6101581316806624,0.485010238415585,0.4922280849059843,0.5306862341749952,0.4096151975489779,0.5340868824058109,0.1203059507295632,0.1051852794518744,0.0894376852755225,0.0992742497749463,0.108173307428292,0.0966059523621587,0.1086701799282676,0.1199840547888129,0.1236551409329791,0.09628083765308,0.1092990762462736,0.1031293899462146,0.1040990586777599,0.1051112245852836,0.1085956642751473,0.1041983348818033,0.1129534993025851,0.1042247844526511,0.1033643995624309,0.0834680675565684,0.1057320021863605,0.1102023161445808,0.1052853502410126,0.1068728399685819,0.1102879947716025,0.1076056904279794,0.1114908357552291,0.0934131993204659,0.1079198528492043,0.1050773652307835,0.0923287015254263,0.2390178030161261,0.3196445301400394,0.3325227116545041,0.1422056153126797,0.2221858910472181,0.2434529303273331,0.1330014122650027,0.2987548077643728,0.2476352009264426,0.3984391434401733,0.3485618085668581,0.3438083822607185,0.406077916194231,0.0892947956750338,0.1920690288477,0.295728195140638,0.3640926065859655,0.3098062819043393
0.6581028493268136,0.5848300031951217,0.6102681994880931,0.4516318993777742,0.425401945368332,0.6893461501834193,0.435883119679881,0.5653772115576079,0.6605265272389877,0.5171670671893065,0.4065430649066694,0.4423018634092709,0.3786185734181706,0.5124569784916275,0.5248704824285104,0.467287675226912,0.5300717620848618,0.4864646658057262,0.6251618115195088,0.5818809721096507,0.6054118770329298,0.5814023717594035,0.5935411806290467,0.4693547845071645,0.4610243690715156,0.5024711332722287,0.4144666698799205,0.4400007682688096,0.1086298036191836,0.1141674586477905,0.0827615238227292,0.1030321257298166,0.1165599988064637,0.0962746866627464,0.1075328682991992,0.1304741922970737,0.1249797204630172,0.0933920865259178,0.1088092873366738,0.104629885738051,0.0959905097887507,0.1101352737295822,0.1232347986817507,0.1132549021022628,0.1152922226087321,0.1030597902554652,0.1062654709921664,0.0724707513501147,0.1105643996772948,0.1348914881509833,0.1124674721245567,0.0983803760886236,0.1085668018482091,0.1109737153845022,0.1191077634336543,0.0986365220711903,0.1118677199698484,0.1079375859045497,0.0944104237560025,0.2218537411091999,0.3057279714396034,0.2165145466902425,0.1560993135711172,0.2098046440162367,0.2048232630641586,0.1321067459636715,0.4147068537447763,0.2558712616426551,0.3725240937908134,0.3668825930721024,0.3580406721759666,0.3844418892580451,0.1441639895654386,0.1218390244651924,0.2169392036205961,0.3585365994522969,0.3820437293025579
0.7052073492434437,0.4775505294843066,0.6253445330345868,0.5084482168016736,0.4508838779477001,0.723821753943999,0.456699619118413,0.5427560585798534,0.6883703020938285,0.5210492316211581,0.3788912725989555,0.5218100481446388,0.4169643721893549,0.5549216332645985,0.5422122745971749,0.4797928121644759,0.5506268594532544,0.5318523697498554,0.6653926055549888,0.6195700720749695,0.5972231037019597,0.5672425742531126,0.6245650711660835,0.5206301483547765,0.5203752400325155,0.4974315287304713,0.448320945041875,0.4816591991035919,0.1183991432789171,0.1163372062032597,0.0885097016654678,0.1075102700143755,0.1157380499765109,0.0991641381340954,0.1186199072469664,0.1297270118419972,0.1265351372943255,0.1010660899031002,0.115619146974274,0.1002139587040398,0.1013890719082895,0.1122161806384452,0.1207241556660173,0.1125524820597856,0.1147186365483061,0.1063140669617698,0.1200264384210494,0.0739194405895735,0.1079382124606089,0.1130255361733323,0.1104007848549589,0.1076148989381174,0.1113633269010953,0.1185898135730529,0.1184458269442607,0.1003872169061347,0.112192972625312,0.0999536088223655,0.1066809018845674,0.2182214363924497,0.319608012223825,0.2636986697129174,0.152576559724297,0.2014543605024004,0.2430680847625287,0.1119396810091155,0.4618538097810549,0.1966101962748135,0.4111134729686475,0.3595821965022377,0.3517889142526608,0.3905020749027078,0.1791978755167552,0.1774798464826553,0.2745437134578363,0.3804078646366718,0.3257836013817602
0.634163470307808,0.581943864268916,0.5604959435475286,0.4564371482810433,0.4090869824732503,0.6882366915389929,0.4162488078308809,0.5717175253155948,0.6431710600846614,0.5034329979577862,0.3935287094104065,0.4824840900255367,0.3970801624045896,0.4867750672618415,0.5091018752843655,0.4300388695398335,0.5552509320698316,0.4641768919562463,0.6273989175590498,0.5737229405317903,0.5843504151719956,0.5493655890246465,0.6401831042135513,0.4694841010782397,0.4367776819486598,0.5047154749974561,0.439407343504445,0.4530418386029992,0.1133925069070821,0.1069893412497526,0.0849696402113052,0.103591026078542,0.1073127528243196,0.0999466660593744,0.1028174332755345,0.1322473367476031,0.124511539176331,0.0961057385240738,0.1130689095496098,0.0974430466107028,0.0962736980842694,0.1023611868256713,0.1077986179997385,0.1026365155267138,0.1134758504153014,0.099185283467842,0.1043652904522854,0.0733705773140425,0.1052949828309242,0.1165352233879236,0.1071717127498554,0.1014775471105911,0.1224367853351592,0.1022263100931686,0.1122518695180861,0.0959701100185326,0.1079470951467861,0.1097920614517644,0.1041809900744264,0.2266925366136748,0.29855920593241,0.2720621498135317,0.134721445224927,0.215313774520872,0.1926705236448663,0.0846834519065748,0.2736991776172259,0.2174517792790863,0.3571382380930855,0.2688720110009063,0.3173492531697716,0.3972331526187749,0.1406583956309727,0.1466935970944662,0.213397440747119,0.3887219267403287,0.3276593361789931
0.6493444605470812,0.5788604506934193,0.589144362678828,0.4853302488330985,0.4151948608999563,0.6709033554020546,0.454605505410055,0.5887935996227589,0.6390782043283603,0.5541974200781703,0.4805797958703905,0.508923970174347,0.4260958417742921,0.535464459754349,0.5515483591523289,0.5375413007931029,0.5787356301690593,0.5078617957769798,0.6400272571808778,0.5915624960673336,0.609104784006798,0.5715446521668238,0.6456713668518996,0.5275225221676807,0.5080702413149454,0.5340393056262112,0.4728269047308888,0.5402068799016653,0.1109151403538715,0.1189513617024951,0.0980532841425932,0.1017689955474696,0.1112682164804608,0.1035370712174897,0.1062214792222872,0.1244782885863566,0.121986824089517,0.1014199205770805,0.1185581626843128,0.0956098477257333,0.0993534242288307,0.1072856100273254,0.1179381701624337,0.1024327460735126,0.1143569610573061,0.1044391906797345,0.110106578506214,0.0693068266622609,0.1136851107937987,0.118178975969572,0.1155887242251565,0.1044368901015556,0.1079969450080725,0.1119186716215365,0.1196229981689956,0.1063705689990882,0.109987189940886,0.109639339036204,0.1008625316742216,0.2184009966498974,0.2863785533386457,0.2128376100302645,0.1146494464773117,0.233579769121821,0.2488139807379955,0.1394260558495376,0.3539989656860848,0.2028563697762977,0.3795582204611951,0.2548713826506897,0.3145172293622826,0.323722225072838,0.1592980589717626,0.17608073944047,0.2405308885589348,0.372084317401379,0.3424736482283425
